Latin Name,Colloquial Name,Taxonomy
colonus hesperus,,"Animalia,Arthropoda,Chelicerata,Arachnida,Araneae,Araneomorphae,Entelegynae,Salticoidea,Salticidae,Salticinae,Gophonini,Colonus"
menemerus semilimbatus,,"Animalia,Arthropoda,Chelicerata,Arachnida,Araneae,Araneomorphae,Entelegynae,Salticoidea,Salticidae,Salticinae,Chrysillini,Menemerus"
sassacus vitis,,"Animalia,Arthropoda,Chelicerata,Arachnida,Araneae,Araneomorphae,Entelegynae,Salticoidea,Salticidae,Salticinae,Dendryphantini,Dendryphantina,Sassacus"
leucauge argyra,,"Animalia,Arthropoda,Chelicerata,Arachnida,Araneae,Araneomorphae,Entelegynae,Araneoidea,Tetragnathidae,Leucauge"
leiobunum rotundum,,"Animalia,Arthropoda,Chelicerata,Arachnida,Opiliones,Eupnoi,Phalangioidea,Sclerosomatidae,Leiobuninae,Leiobunum,Leiobunum rotundum"
leiobunum townsendi,,"Animalia,Arthropoda,Chelicerata,Arachnida,Opiliones,Eupnoi,Phalangioidea,Sclerosomatidae,Leiobuninae,Leiobunum"
paravaejovis puritanus,,"Animalia,Arthropoda,Chelicerata,Arachnida,Scorpiones,Neoscorpionina,Orthosterni,Iurida,Vaejovoidea,Vaejovidae,Syntropinae,Paravaejovis"
carabus coriaceus,,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Adephaga,Caraboidea,Carabidae,Carabinae,Carabini,Carabina,Carabus,Procrustes"
morimus asper,,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Polyphaga,Cucujiformia,Cerambycoidea,Cerambycidae,Lamiinae,Phrissomini,Morimus"
clytra laeviuscula,,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Polyphaga,Cucujiformia,Chrysomeloidea,Chrysomelidae,Cryptocephalinae,Clytrini,Clytrina,Clytra"
zygogramma signatipennis,,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Polyphaga,Cucujiformia,Chrysomeloidea,Chrysomelidae,Chrysomelinae,Doryphorini,Doryphorina,Calligrapha,Zygospila"
trichodes alvearius,,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Polyphaga,Cucujiformia,Cleroidea,Cleridae,Clerinae,Trichodes"
epilachna mexicana,,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Polyphaga,Cucujiformia,Coccinelloidea,Coccinellidae,Coccinellinae,Epilachnini,Epilachna"
oedemera femorata,,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Polyphaga,Cucujiformia,Tenebrionoidea,Oedemeridae,Oedemerinae,Oedemerini,Oedemera"
euphoria basalis,,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Polyphaga,Scarabaeiformia,Scarabaeoidea,Scarabaeidae,Cetoniinae,Cetoniini,Cetoniina,Euphoria"
valgus hemipterus,,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Polyphaga,Scarabaeiformia,Scarabaeoidea,Scarabaeidae,Cetoniinae,Valgini,Valgus"
eleodes obscura,,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Polyphaga,Cucujiformia,Tenebrionoidea,Tenebrionidae,Blaptinae,Amphidorini,Eleodes,Eleodes"
zopherus nodulosus,,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Polyphaga,Cucujiformia,Tenebrionoidea,Zopheridae,Zopherinae,Zopherini,Zopherus"
laphria macquarti,,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Brachycera,Orthorrhapha,Asiloidea,Asilidae,Laphriinae,Laphriini,Laphria"
laphria thoracica,,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Brachycera,Orthorrhapha,Asiloidea,Asilidae,Laphriinae,Laphriini,Laphria"
mallophora fautrix,,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Brachycera,Orthorrhapha,Asiloidea,Asilidae,Asilinae,Apocleini,Mallophora"
promachus hinei,,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Brachycera,Orthorrhapha,Asiloidea,Asilidae,Asilinae,Apocleini,Promachus"
triorla interrupta,,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Brachycera,Orthorrhapha,Asiloidea,Asilidae,Asilinae,Triorla"
poecilanthrax lucifer,,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Brachycera,Orthorrhapha,Asiloidea,Bombyliidae,Anthracinae,Villini,Poecilanthrax"
physocephala tibialis,,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Brachycera,Cyclorrhapha,Schizophora,Acalyptratae,Sciomyzoidea,Conopidae,Conopinae,Physocephalini,Physocephala"
rainieria antennaepes,,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Brachycera,Cyclorrhapha,Schizophora,Acalyptratae,Nerioidea,Micropezidae,Taeniapterinae,Rainieria"
hystricia abrupta,,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Brachycera,Cyclorrhapha,Schizophora,Calyptratae,Oestroidea,Tachinidae,Tachininae,Polideini,Hystricia"
riptortus pedestris,,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Hemiptera,Heteroptera,Pentatomomorpha,Coreoidea,Alydidae,Alydinae,Riptortus"
tylozygus bifidus,,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Hemiptera,Auchenorrhyncha,Cicadomorpha,Membracoidea,Cicadellidae,Cicadellinae,Cicadellini,Tylozygus"
acanthocephala alata,,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Hemiptera,Heteroptera,Pentatomomorpha,Coreoidea,Coreidae,Coreinae,Acanthocephalini,Acanthocephala"
acanthocephala terminalis,,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Hemiptera,Heteroptera,Pentatomomorpha,Coreoidea,Coreidae,Coreinae,Acanthocephalini,Acanthocephala"
hypselonotus interruptus,,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Hemiptera,Heteroptera,Pentatomomorpha,Coreoidea,Coreidae,Coreinae,Hypselonotini,Hypselonotus"
leptoglossus zonatus,,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Hemiptera,Heteroptera,Pentatomomorpha,Coreoidea,Coreidae,Coreinae,Anisoscelini,Leptoglossus,Leptoglossus stigma"
thasus gigas,,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Hemiptera,Heteroptera,Pentatomomorpha,Coreoidea,Coreidae,Coreinae,Nematopodini,Pachylis"
ormenoides venusta,,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Hemiptera,Auchenorrhyncha,Fulgoromorpha,Fulgoroidea,Flatidae,Flatinae,Nephesini,Ormenoides"
stenomacra marginella,,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Hemiptera,Heteroptera,Pentatomomorpha,Pyrrhocoroidea,Largidae,Larginae,Largini,Stenomacra"
spilostethus pandurus,,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Hemiptera,Heteroptera,Pentatomomorpha,Lygaeoidea,Lygaeidae,Lygaeinae,Spilostethus"
spilostethus saxatilis,,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Hemiptera,Heteroptera,Pentatomomorpha,Lygaeoidea,Lygaeidae,Lygaeinae,Spilostethus"
mormidea lugens,,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Hemiptera,Heteroptera,Pentatomomorpha,Pentatomoidea,Pentatomidae,Pentatominae,Carpocorini,Mormidea"
rasahus hamatus,,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Hemiptera,Heteroptera,Cimicomorpha,Reduvioidea,Reduviidae,Peiratinae,Rasahus"
diplolepis polita,,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Hymenoptera,Apocrita,Proctotrupomorpha,Cynipoidea,Diplolepididae,Diplolepidinae,Diplolepis"
augochloropsis metallica,,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Hymenoptera,Apocrita,Aculeata,Apoidea,Anthophila,Halictidae,Halictinae,Augochlorini,Augochloropsis,Paraugochloropsis,Augochloropsis metallica"
enicospilus purgatus,,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Hymenoptera,Apocrita,Ichneumonoidea,Ichneumonidae,Ophioninae,Enicospilini,Enicospilus"
ancistrocerus antilope,,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Hymenoptera,Apocrita,Aculeata,Vespoidea,Vespidae,Eumeninae,Ancistrocerus"
euodynerus foraminatus,,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Hymenoptera,Apocrita,Aculeata,Vespoidea,Vespidae,Eumeninae,Euodynerus,Euodynerus foraminatus"
culladia cuneiferellus,,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Pyraloidea,Crambidae,Crambinae,Crambini,Culladia"
nacoleia rhoeoalis,,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Pyraloidea,Crambidae,Spilomelinae,Steniini,Nacoleia"
asota heliconia,,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Noctuoidea,Erebidae,Aganainae,Asota"
brunia antica,,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Noctuoidea,Erebidae,Arctiinae,Lithosiini,Lithosiina,Brunia"
erebus ephesperis,,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Noctuoidea,Erebidae,Erebinae,Erebini,Erebus"
hypercompe oslari,,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Noctuoidea,Erebidae,Arctiinae,Arctiini,Spilosomina,Hypercompe"
orvasca subnotata,,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Noctuoidea,Erebidae,Lymantriinae,Nygmiini,Orvasca"
pantydia sparsa,,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Noctuoidea,Erebidae,Erebinae,Euclidiini,Pantydia"
chiasmia emersaria,,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Geometroidea,Geometridae,Ennominae,Macariini,Chiasmia"
chloroclystis inductata,,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Geometroidea,Geometridae,Larentiinae,Eupitheciini,Chloroclystis"
comostola laesaria,,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Geometroidea,Geometridae,Geometrinae,Hemitheini,Comostola"
didymoctenia exsuperata,,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Geometroidea,Geometridae,Ennominae,Boarmiini,Didymoctenia"
milionia zonea,,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Geometroidea,Geometridae,Ennominae,Boarmiini,Milionia"
charadra dispulsa,,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Noctuoidea,Noctuidae,Pantheinae,Charadra"
nola desmotes,,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Noctuoidea,Nolidae,Nolinae,Nolini,Nolina,Nola"
endotricha mesenterialis,,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Pyraloidea,Pyralidae,Pyralinae,Endotrichini,Endotricha"
endotricha pyrosalis,,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Pyraloidea,Pyralidae,Pyralinae,Endotrichini,Endotricha"
spectrotrota fimbrialis,,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Pyraloidea,Pyralidae,Epipaschiinae,Spectrotrota"
chrysopa oculata,,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neuroptera,Hemerobiiformia,Chrysopidae,Chrysopinae,Chrysopini,Chrysopa"
neurothemis taiwanensis,,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Odonata,Anisoptera,Libelluloidea,Libellulidae,Neurothemis"
abracris flavolineata,,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Orthoptera,Caelifera,Acrididea,Acridoidea,Acrididae,Ommatolampidinae,Abracrini,Abracris"
nisitrus vittatus,,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Orthoptera,Ensifera,Gryllidea,Grylloidea,Gryllidae,Eneopterinae,Nisitrini,Nisitrus"
lobaria anthraspis,,"Fungi,Ascomycota,Pezizomycotina,Lecanoromycetes,Lecanoromycetidae,Peltigerales,Lobariaceae,Lobaria"
dibaeis arcuata,,"Fungi,Ascomycota,Pezizomycotina,Lecanoromycetes,Ostropomycetidae,Pertusariales,Icmadophilaceae,Dibaeis"
panaeolus antillarum,,"Fungi,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Agaricineae,Galeropsidaceae,Panaeolus"
cyclocybe parasitica,,"Fungi,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Agaricineae,Tubariaceae,Cyclocybe"
ganoderma sessile,,"Fungi,Basidiomycota,Agaricomycotina,Agaricomycetes,Polyporales,Polyporaceae,Ganoderma,Ganoderma"
stereum versicolor,,"Fungi,Basidiomycota,Agaricomycotina,Agaricomycetes,Russulales,Stereaceae,Stereum"
echinocereus bakeri,,"Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Caryophyllales,Cactaceae,Cactoideae,Pachycereae,Echinocereus,Triglochidiatus,Triglochidiati"
ferocactus histrix,,"Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Caryophyllales,Cactaceae,Cactoideae,Cacteae,Ferocactus"
drosera arcturi,,"Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Caryophyllales,Droseraceae,Drosera,Drosera,Arcturia"
gentiana sedifolia,,"Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Gentianales,Gentianaceae,Gentianeae,Gentianinae,Gentiana,Dolichocarpa"
coprosma dumosa,,"Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Gentianales,Rubiaceae,Rubioideae,Anthospermeae,Coprosminae,Coprosma"
tmesipteris elongata,,"Plantae,Tracheophyta,Polypodiopsida,Ophioglossidae,Psilotales,Psilotaceae,Tmesipteris"
